neg,neu,pos,compound,date
0.045,0.873,0.082,0.9908,2020-03-03T15:49:06+0000
0.226,0.68,0.095,-0.9995,2020-03-03T16:35:00+0000
0.055,0.848,0.097,0.9942,2020-03-03T17:43:00+0000
0.094,0.829,0.077,-0.8591,2020-03-03T18:21:00+0000
0.119,0.692,0.189,0.9831,2020-03-03T19:03:20+0000
0.225,0.611,0.164,-0.9959,2020-03-03T20:50:35+0000
0.06,0.855,0.085,0.9501,2020-03-03T23:38:09+0000
0.115,0.738,0.146,0.9798,2020-03-04T02:03:41+0000
0.123,0.782,0.095,-0.997,2020-03-04T05:09:54+0000
0.107,0.747,0.145,0.9465,2020-03-04T09:40:59+0000
0.078,0.825,0.097,0.9024,2020-03-04T10:00:15+0000
0.057,0.862,0.081,0.9932,2020-03-04T14:43:29+0000
0.083,0.831,0.087,0.296,2020-03-04T15:34:15+0000
0.068,0.839,0.093,0.9906,2020-03-04T15:36:31+0000
0.071,0.742,0.187,0.9967,2020-03-04T17:46:53+0000
0.103,0.776,0.121,0.9935,2020-03-04T17:51:18+0000
0.077,0.808,0.115,0.975,2020-03-04T18:03:20+0000
0.133,0.698,0.169,0.8797,2020-03-04T18:13:42+0000
0.125,0.776,0.099,-0.973,2020-03-04T19:12:25+0000
0.099,0.785,0.115,0.5574,2020-03-04T19:26:22+0000
0.069,0.86,0.071,-0.0823,2020-03-04T20:40:53+0000
0.133,0.738,0.129,-0.8997,2020-03-04T20:47:37+0000
0.156,0.769,0.076,-0.9758,2020-03-04T23:44:57+0000
0.084,0.829,0.087,0.2236,2020-03-04T23:46:09+0000
0.164,0.725,0.111,-0.9895,2020-03-05T00:18:27+0000
0.123,0.773,0.105,-0.9959,2020-03-05T05:04:11+0000
0.13,0.763,0.107,-0.8796,2020-03-05T05:56:06+0000
0.107,0.767,0.126,0.924,2020-03-05T10:00:15+0000
0.129,0.733,0.137,0.5437,2020-03-05T10:00:36+0000
0.054,0.82,0.125,0.995,2020-03-05T10:15:52+0000
0.051,0.842,0.107,0.9808,2020-03-05T10:55:45+0000
0.106,0.761,0.132,0.9622,2020-03-05T11:55:01+0000
0.113,0.769,0.119,0.7687,2020-03-05T12:03:00+0000
0.055,0.867,0.078,0.9805,2020-03-05T13:04:00+0000
0.086,0.791,0.123,0.9635,2020-03-05T13:38:55+0000
0.174,0.743,0.082,-0.9898,2020-03-05T14:16:41+0000
0.106,0.753,0.141,0.9678,2020-03-05T16:08:56+0000
0.165,0.724,0.112,-0.9962,2020-03-05T17:43:34+0000
0.139,0.744,0.117,-0.8535,2020-03-05T18:09:14+0000
