neg,neu,pos,compound,date
0.117,0.774,0.109,-0.8496,2020-03-17T10:34:39+0000
0.116,0.794,0.09,-0.6249,2020-03-17T11:00:06+0000
0.093,0.786,0.121,0.849,2020-03-17T11:27:00+0000
0.07,0.763,0.167,0.9981,2020-03-17T12:47:07+0000
0.05,0.786,0.164,0.999,2020-03-17T12:59:52+0000
0.167,0.723,0.11,-0.9958,2020-03-17T13:56:18+0000
0.048,0.824,0.128,0.9982,2020-03-17T14:30:14+0000
0.095,0.758,0.147,0.9886,2020-03-17T15:09:58+0000
0.093,0.775,0.132,0.9824,2020-03-17T15:36:59+0000
0.172,0.692,0.136,-0.9722,2020-03-17T15:43:22+0000
0.076,0.698,0.226,0.9961,2020-03-17T16:14:40+0000
0.1,0.752,0.149,0.9927,2020-03-17T16:32:49+0000
0.072,0.821,0.107,0.99,2020-03-17T17:08:33+0000
0.039,0.898,0.062,0.9905,2020-03-17T17:25:17+0000
0.141,0.721,0.138,0.4071,2020-03-17T17:48:42+0000
0.083,0.748,0.169,0.9985,2020-03-17T18:37:53+0000
0.039,0.864,0.097,0.9863,2020-03-17T18:45:48+0000
0.114,0.743,0.144,0.9674,2020-03-17T19:27:38+0000
0.119,0.697,0.184,0.9747,2020-03-17T19:37:20+0000
0.055,0.844,0.101,0.9994,2020-03-17T20:27:44+0000
0.088,0.734,0.178,0.9965,2020-03-17T20:56:39+0000
0.051,0.818,0.131,0.9876,2020-03-17T21:00:12+0000
0.159,0.761,0.08,-0.9922,2020-03-17T21:30:19+0000
0.025,0.817,0.158,0.9982,2020-03-17T21:43:22+0000
0.075,0.804,0.121,0.9912,2020-03-17T21:50:26+0000
0.024,0.843,0.133,0.9955,2020-03-17T22:25:57+0000
0.1,0.76,0.14,0.999,2020-03-17T22:28:06+0000
0.076,0.833,0.092,0.9684,2020-03-17T22:28:36+0000
0.146,0.735,0.118,-0.8411,2020-03-17T22:47:28+0000
0.156,0.755,0.089,-0.996,2020-03-17T23:00:10+0000
0.103,0.77,0.127,0.9314,2020-03-17T23:07:56+0000
0.133,0.775,0.092,-0.9805,2020-03-17T23:18:23+0000
0.117,0.776,0.107,-0.9081,2020-03-17T23:19:18+0000
0.124,0.758,0.118,-0.4942,2020-03-17T23:46:13+0000
0.073,0.823,0.104,0.9171,2020-03-17T23:58:05+0000
0.082,0.775,0.143,0.9969,2020-03-18T01:28:14+0000
0.148,0.722,0.13,-0.9953,2020-03-18T04:07:49+0000
0.012,0.892,0.096,0.9955,2020-03-18T04:34:55+0000
