Company Name;Exchange:Ticker;Currency;Market Cap (mm) [Latest]*†;Revenue (mm);% Price Change [Last Day];% Price Change [30 Day];% Price Change [YTD];% Price Change [12 Month];Price Close;P/E*†;P/BV*†;Primary Industry;cap_01012020;cap_11212020;% Change between Jan and Nov 2020
The Boeing Company;NYSE:BA;USD;112691,42;60765;(2.94%);21.82%;(38.72%);(46.18%);199,62;NM;NM;Aerospace and Defense; 183.335 ; 112.691 ;-38,5%
The Charles Schwab Corporation;NYSE:SCHW;USD;78349,25;10121;(1.00%);19.73%;(2.00%);4.16%;46,61;21.59x;2.33x;Investment Banking and Brokerage; 61.095 ; 78.349 ;28,2%
The Clorox Company;NYSE:CLX;USD;25594,44;7131;0.29%;(3.93%);32.25%;38.71%;203,05;22.57x;22.89x;Household Products; 19.270 ; 25.594 ;32,8%
The Coca-Cola Company;NYSE:KO;USD;226345,88;33471;(0.87%);5.36%;(4.84%);(1.03%);52,67;27.29x;12.27x;Soft Drinks; 237.147 ; 226.346 ;-4,6%
The Cooper Companies, Inc.;NYSE:COO;USD;16250,52;2440,9;(0.26%);(4.99%);3.14%;8.84%;331,37;59.19x;4.34x;Health Care Supplies; 15.763 ; 16.251 ;3,1%
The Estée Lauder Companies Inc.;NYSE:EL;USD;86987,85;13961;(0.56%);3.40%;16.47%;23.19%;240,56;144.46x;19.64x;Personal Products; 74.316 ; 86.988 ;17,1%
The Gap, Inc.;NYSE:GPS;USD;9104,46;14054;(0.12%);30.95%;37.84%;49.69%;24,37;NM;4.05x;Apparel Retail; 6.600 ; 9.104 ;37,9%
The Goldman Sachs Group, Inc.;NYSE:GS;USD;80130,53;39633;(0.54%);10.07%;(2.86%);2.50%;223,35;12.88x;0.99x;Investment Banking and Brokerage; 81.415 ; 80.131 ;-1,6%
The Hartford Financial Services Group, Inc.;NYSE:HIG;USD;16400,78;20534;(1.02%);13.29%;(24.68%);(26.06%);45,77;9.57x;0.95x;Multi-line Insurance; 21.903 ; 16.401 ;-25,1%
The Hershey Company;NYSE:HSY;USD;30759,45;8032,6;(1.08%);1.51%;0.54%;(0.90%);147,78;25.94x;15.05x;Packaged Foods and Meats; 30.707 ; 30.759 ;0,2%
The Home Depot, Inc.;NYSE:HD;USD;290438,46;125631;(0.41%);(5.17%);23.55%;22.14%;269,81;23.34x;189.39x;Home Improvement Retail; 238.216 ; 290.438 ;21,9%
The Interpublic Group of Companies, Inc.;NYSE:IPG;USD;8444,25;8213,1;0.28%;15.78%;(6.28%);(2.17%);21,65;14.95x;3.09x;Advertising; 8.957 ; 8.444 ;-5,7%
The J. M. Smucker Company;NYSE:SJM;USD;13258,8;7993,9;(0.70%);1.60%;11.62%;10.22%;116,23;15.38x;1.60x;Packaged Foods and Meats; 11.877 ; 13.259 ;11,6%
The Kraft Heinz Company;NasdaqGS:KHC;USD;39441,82;25782;1.19%;2.61%;0.40%;3.76%;32,26;NM;0.79x;Packaged Foods and Meats; 39.236 ; 39.442 ;0,5%
The Kroger Co.;NYSE:KR;USD;25141;128905;(0.98%);(2.67%);11.90%;22.00%;32,44;9.95x;2.59x;Food Retail; 23.209 ; 25.141 ;8,3%
The Mosaic Company;NYSE:MOS;USD;7433,96;8300,6;0.15%;3.70%;(9.38%);8.16%;19,61;NM;0.87x;Fertilizers and Agricultural Chemicals; 8.196 ; 7.434 ;-9,3%
The PNC Financial Services Group, Inc.;NYSE:PNC;USD;54615,06;14352;(1.07%);16.50%;(19.25%);(15.07%);128,9;26.60x;1.11x;Regional Banks; 69.945 ; 54.615 ;-21,9%
The Procter & Gamble Company;NYSE:PG;USD;345409,1;72470;(0.16%);(2.76%);11.53%;13.91%;139,3;26.62x;7.32x;Household Products; 311.477 ; 345.409 ;10,9%
The Progressive Corporation;NYSE:PGR;USD;54542,6;41962,6;(1.20%);(0.49%);28.66%;32.06%;93,14;10.79x;3.14x;Property and Casualty Insurance; 42.319 ; 54.543 ;28,9%
The Sherwin-Williams Company;NYSE:SHW;USD;58863,53;17987,3;(0.62%);7.44%;24.11%;25.73%;724,23;35.78x;15.68x;Specialty Chemicals; 53.426 ; 58.864 ;10,2%
The Southern Company;NYSE:SO;USD;64304,01;20172;(0.31%);3.41%;(4.43%);(3.03%);60,88;20.37x;2.28x;Electric Utilities; 66.804 ; 64.304 ;-3,7%
The TJX Companies, Inc.;NYSE:TJX;USD;72759,03;33400,21;(1.43%);10.37%;(0.62%);2.29%;60,68;97.50x;13.43x;Apparel Retail; 73.466 ; 72.759 ;-1,0%
The Travelers Companies, Inc.;NYSE:TRV;USD;34082,69;31647;0.51%;7.64%;(1.75%);(0.65%);134,55;15.33x;1.22x;Property and Casualty Insurance; 35.349 ; 34.083 ;-3,6%
The Walt Disney Company;NYSE:DIS;USD;254922,43;65388;(0.46%);11.40%;(2.46%);(3.99%);141,07;NM;3.02x;Movies and Entertainment; 260.681 ; 254.922 ;-2,2%
The Western Union Company;NYSE:WU;USD;8592,42;4870,9;(2.93%);(3.73%);(21.96%);(22.51%);20,9;12.35x;131.88x;Data Processing and Outsourced Services; 11.228 ; 8.592 ;-23,5%
The Williams Companies, Inc.;NYSE:WMB;USD;24684,33;7734;0.89%;5.39%;(14.25%);(9.12%);20,34;107.06x;2.03x;Oil and Gas Storage and Transportation; 28.750 ; 24.684 ;-14,1%
Thermo Fisher Scientific Inc.;NYSE:TMO;USD;178763,02;28497;(0.45%);(3.78%);38.84%;46.76%;451,04;36.99x;5.64x;Life Sciences Tools and Services; 130.270 ; 178.763 ;37,2%
Tiffany & Co.;NYSE:TIF;USD;15957,07;3675;(0.08%);7.03%;(1.66%);6.57%;131,43;64.64x;5.00x;Specialty Stores; 16.036 ; 15.957 ;-0,5%
T-Mobile US, Inc.;NasdaqGS:TMUS;USD;160957,1;59934;0.38%;15.35%;65.37%;67.03%;129,68;49.88x;2.49x;Wireless Telecommunication Services; 67.094 ; 160.957 ;139,9%
Tractor Supply Company;NasdaqGS:TSCO;USD;15109,71;9933,87;(1.18%);(13.02%);38.81%;33.90%;129,7;20.16x;8.15x;Specialty Stores; 11.062 ; 15.110 ;36,6%
Trane Technologies plc;NYSE:TT;USD;34626,01;15982,3;(1.76%);11.90%;8.49%;11.06%;144,2;30.02x;5.54x;Building Products; 31.677 ; 34.626 ;9,3%
TransDigm Group Incorporated;NYSE:TDG;USD;31253,27;5103;(2.80%);18.89%;2.52%;(0.15%);574,13;70.44x;NM;Aerospace and Defense; 29.987 ; 31.253 ;4,2%
Truist Financial Corporation;NYSE:TFC;USD;62296,55;18350;(1.47%);10.29%;(17.95%);(15.07%);46,21;15.81x;1.02x;Regional Banks; 75.525 ; 62.297 ;-17,5%
Twitter, Inc.;NYSE:TWTR;USD;35446,86;3434,65;2.43%;(11.07%);39.41%;53.17%;44,68;NM;4.42x;Interactive Media and Services; 24.834 ; 35.447 ;42,7%
Tyler Technologies, Inc.;NYSE:TYL;USD;16714,3;1122,22;0.02%;4.43%;38.15%;44.02%;414,47;91.15x;8.80x;Application Software; 11.697 ; 16.714 ;42,9%
Tyson Foods, Inc.;NYSE:TSN;USD;22117,64;43185;(2.57%);2.65%;(33.28%);(32.97%);60,74;10.37x;1.47x;Packaged Foods and Meats; 33.264 ; 22.118 ;-33,5%
U.S. Bancorp;NYSE:USB;USD;64264,66;19167;(1.34%);9.89%;(28.05%);(27.83%);42,66;14.12x;1.40x;Diversified Banks; 92.603 ; 64.265 ;-30,6%
UDR, Inc.;NYSE:UDR;USD;11552,51;1246,31;1.11%;21.01%;(16.00%);(19.58%);39,23;88.54x;3.50x;Residential REITs; 13.686 ; 11.553 ;-15,6%
Ulta Beauty, Inc.;NasdaqGS:ULTA;USD;15412,82;6389,65;(0.44%);17.52%;8.10%;16.80%;273,65;55.24x;8.74x;Specialty Stores; 14.470 ; 15.413 ;6,5%
Under Armour, Inc.;NYSE:UAA;USD;7122,38;4512,13;0.24%;20.01%;(22.55%);(1.53%);16,73;NM;5.16x;Apparel, Accessories and Luxury Goods; 9.200 ; 7.122 ;-22,6%
Under Armour, Inc.;NYSE:UA;USD;7122,38;4512,13;(0.34%);20.89%;(23.67%);(5.12%);14,64;NM;5.16x;Apparel, Accessories and Luxury Goods; 9.200 ; 7.122 ;-22,6%
Union Pacific Corporation;NYSE:UNP;USD;137058,19;19604;(0.57%);1.96%;12.50%;16.83%;203,39;25.91x;8.03x;Railroads; 125.504 ; 137.058 ;9,2%
United Airlines Holdings, Inc.;NasdaqGS:UAL;USD;11610,54;22831;(2.54%);12.27%;(54.71%);(56.49%);39,9;NM;1.70x;Airlines; 22.291 ; 11.611 ;-47,9%
United Parcel Service, Inc.;NYSE:UPS;USD;141553,81;80300;(1.63%);(5.19%);39.89%;37.60%;163,76;31.06x;25.72x;Air Freight and Logistics; 100.417 ; 141.554 ;41,0%
United Rentals, Inc.;NYSE:URI;USD;15855,63;8707;1.29%;17.62%;31.80%;47.99%;219,8;17.39x;3.76x;Trading Companies and Distributors; 12.534 ; 15.856 ;26,5%
UnitedHealth Group Incorporated;NYSE:UNH;USD;317570,29;252575;(0.68%);3.69%;13.85%;21.46%;334,7;19.23x;4.90x;Managed Health Care; 278.521 ; 317.570 ;14,0%
Universal Health Services, Inc.;NYSE:UHS;USD;11129,54;11368,21;(2.22%);17.06%;(8.71%);(6.78%);130,97;12.84x;1.91x;Health Care Facilities; 12.564 ; 11.130 ;-11,4%
Unum Group;NYSE:UNM;USD;4360,4;11923,2;(0.14%);14.07%;(26.58%);(27.60%);21,41;4.59x;0.40x;Life and Health Insurance; 6.015 ; 4.360 ;-27,5%
V.F. Corporation;NYSE:VFC;USD;33099,66;8942,76;(0.11%);16.66%;(14.84%);(0.74%);84,87;NM;11.25x;Apparel, Accessories and Luxury Goods; 39.802 ; 33.100 ;-16,8%
Valero Energy Corporation;NYSE:VLO;USD;20723,85;71240;(0.76%);25.36%;(45.73%);(47.71%);50,82;NM;1.09x;Oil and Gas Refining and Marketing; 38.458 ; 20.724 ;-46,1%
Varian Medical Systems, Inc.;NYSE:VAR;USD;15817,4;3168,2;(0.10%);0.96%;22.18%;34.49%;173,51;59.02x;7.63x;Health Care Equipment; 12.910 ; 15.817 ;22,5%
Ventas, Inc.;NYSE:VTR;USD;18249,09;3857,36;0.21%;18.40%;(15.62%);(16.66%);48,72;53.76x;1.78x;Health Care REITs; 21.522 ; 18.249 ;-15,2%
VeriSign, Inc.;NasdaqGS:VRSN;USD;22415,74;1255,31;(0.51%);(4.44%);1.95%;2.05%;196,44;28.34x;NM;Internet Services and Infrastructure; 22.622 ; 22.416 ;-0,9%
Verisk Analytics, Inc.;NasdaqGS:VRSK;USD;33228,48;2748;(0.66%);8.03%;36.85%;41.59%;204,37;50.72x;13.83x;Research and Consulting Services; 24.472 ; 33.228 ;35,8%
Verizon Communications Inc.;NYSE:VZ;USD;248451,19;128375;(0.28%);5.80%;(2.22%);0.94%;60,04;13.58x;3.83x;Integrated Telecommunication Services; 253.937 ; 248.451 ;-2,2%
Vertex Pharmaceuticals Incorporated;NasdaqGS:VRTX;USD;55962,76;5991,13;1.53%;1.81%;(1.71%);0.07%;215,21;21.09x;6.78x;Biotechnology; 56.303 ; 55.963 ;-0,6%
ViacomCBS Inc.;NasdaqGS:VIAC;USD;21053,37;25931;1.68%;19.39%;(19.01%);(12.87%);33,99;15.81x;1.41x;Broadcasting; 25.962 ; 21.053 ;-18,9%
Viatris Inc.;NasdaqGS:VTRS;USD;9276,75;11514,3;(5.41%);13.14%;(14.78%);(0.64%);17,13;33.22x;0.75x;Pharmaceuticals; 10.374 ; 9.277 ;-10,6%
Visa Inc.;NYSE:V;USD;403811,93;21846;(1.78%);2.75%;8.50%;12.23%;203,88;41.71x;-;Data Processing and Outsourced Services; 376.154 ; 403.812 ;7,4%
Vontier Corporation;NYSE:VNT;USD;5250,05;2632,9;1.50%;9.21%;(8.29%);(8.29%);31,18;15.84x;3.27x;Electronic Equipment and Instruments; -   ; 5.250 ;#DIV/0!
Vornado Realty Trust;NYSE:VNO;USD;7637,05;1587,86;0.23%;24.24%;(39.95%);(37.57%);39,93;142.75x;1.37x;Office REITs; 12.692 ; 7.637 ;-39,8%
Vulcan Materials Company;NYSE:VMC;USD;18470,76;4867,86;(0.51%);(3.67%);(3.19%);(0.97%);139,39;30.24x;3.13x;Construction Materials; 19.058 ; 18.471 ;-3,1%
W. R. Berkley Corporation;NYSE:WRB;USD;11669,9;7762,53;(2.06%);0.57%;(5.24%);(6.08%);65,48;37.14x;1.99x;Property and Casualty Insurance; 12.692 ; 11.670 ;-8,1%
W.W. Grainger, Inc.;NYSE:GWW;USD;21966,33;11703;(3.21%);9.60%;20.91%;31.04%;409,3;35.36x;10.65x;Trading Companies and Distributors; 18.235 ; 21.966 ;20,5%
Wabtec Corporation;NYSE:WAB;USD;13509,37;7900,8;(1.89%);14.30%;(8.77%);(10.11%);70,98;29.42x;1.37x;Construction Machinery and Heavy Trucks; 14.913 ; 13.509 ;-9,4%
Walgreens Boots Alliance, Inc.;NasdaqGS:WBA;USD;32497,81;139537;(0.85%);0.37%;(36.35%);(38.82%);37,53;72.38x;1.59x;Drug Retail; 52.356 ; 32.498 ;-37,9%
Walmart Inc.;NYSE:WMT;USD;425743,04;548743;(1.24%);4.04%;26.42%;26.11%;150,24;21.68x;5.29x;Hypermarkets and Super Centers; 337.170 ; 425.743 ;26,3%
Waste Management, Inc.;NYSE:WM;USD;50860,66;14997;(0.19%);5.41%;5.61%;6.91%;120,35;33.99x;7.12x;Environmental and Facilities Services; 48.347 ; 50.861 ;5,2%
Waters Corporation;NYSE:WAT;USD;13985,54;2295;(0.42%);4.89%;(3.53%);3.53%;225,4;28.08x;NM;Life Sciences Tools and Services; 15.055 ; 13.986 ;-7,1%
WEC Energy Group, Inc.;NYSE:WEC;USD;30313,26;7255,8;0.58%;(4.94%);4.20%;8.96%;96,1;25.22x;2.88x;Multi-Utilities; 29.093 ; 30.313 ;4,2%
Wells Fargo & Company;NYSE:WFC;USD;105346,79;59442;(2.60%);12.25%;(52.64%);(52.41%);25,48;66.87x;0.67x;Diversified Banks; 227.540 ; 105.347 ;-53,7%
Welltower Inc.;NYSE:WELL;USD;26920,34;4746,77;(1.06%);20.11%;(21.12%);(23.96%);64,51;25.88x;1.69x;Health Care REITs; 33.186 ; 26.920 ;-18,9%
West Pharmaceutical Services, Inc.;NYSE:WST;USD;21049,29;2037,3;1.25%;0.11%;89.40%;90.33%;284,73;68.95x;12.09x;Health Care Supplies; 11.123 ; 21.049 ;89,2%
Western Digital Corporation;NasdaqGS:WDC;USD;12906,07;16618;(0.45%);0.86%;(33.17%);(12.54%);42,42;NM;1.35x;Technology Hardware, Storage and Peripherals; 18.876 ; 12.906 ;-31,6%
WestRock Company;NYSE:WRK;USD;10959,25;17578,8;(0.89%);4.69%;(1.63%);8.96%;42,21;NM;1.04x;Paper Packaging; 11.081 ; 10.959 ;-1,1%
Weyerhaeuser Company;NYSE:WY;USD;21459,66;7017;(0.93%);(3.72%);(4.80%);(2.58%);28,75;43.72x;2.54x;Specialized REITs; 22.503 ; 21.460 ;-4,6%
Whirlpool Corporation;NYSE:WHR;USD;12065,92;19040;0.18%;(1.99%);30.76%;35.22%;192,91;13.99x;3.54x;Household Appliances; 9.324 ; 12.066 ;29,4%
Willis Towers Watson Public Limited Company;NasdaqGS:WLTW;USD;25703,74;9278;(2.49%);(4.76%);(1.26%);4.86%;199,4;24.41x;2.51x;Insurance Brokers; 25.964 ; 25.704 ;-1,0%
Wynn Resorts, Limited;NasdaqGS:WYNN;USD;10208,05;3063,33;(3.50%);30.80%;(31.38%);(18.94%);95,29;NM;NM;Casinos and Gaming; 14.835 ; 10.208 ;-31,2%
Xcel Energy Inc.;NasdaqGS:XEL;USD;36419,48;11377;(0.06%);(3.10%);9.17%;12.35%;69,31;24.67x;2.64x;Electric Utilities; 33.293 ; 36.419 ;9,4%
Xerox Holdings Corporation;NYSE:XRX;USD;4346,61;7536;-;12.13%;(40.58%);(42.79%);21,91;12.85x;0.83x;Technology Hardware, Storage and Peripherals; 7.971 ; 4.347 ;-45,5%
Xilinx, Inc.;NasdaqGS:XLNX;USD;32449,21;2972,88;(0.44%);18.94%;35.40%;45.46%;132,38;54.07x;13.28x;Semiconductors; 24.586 ; 32.449 ;32,0%
Xylem Inc.;NYSE:XYL;USD;17010,3;4874;0.01%;3.98%;19.79%;21.83%;94,38;76.70x;5.93x;Industrial Machinery; 14.188 ; 17.010 ;19,9%
Yum! Brands, Inc.;NYSE:YUM;USD;31672,14;5603;(0.27%);5.98%;4.23%;7.00%;104,99;30.49x;NM;Restaurants; 30.467 ; 31.672 ;4,0%
Zebra Technologies Corporation;NasdaqGS:ZBRA;USD;18926,79;4332;(0.95%);21.63%;38.97%;46.41%;354,99;40.52x;9.89x;Electronic Equipment and Instruments; 13.774 ; 18.927 ;37,4%
Zimmer Biomet Holdings, Inc.;NYSE:ZBH;USD;30250,21;7064,9;(0.40%);2.91%;(2.50%);2.36%;145,94;NM;2.56x;Health Care Equipment; 30.787 ; 30.250 ;-1,7%
Zions Bancorporation, National Association;NasdaqGS:ZION;USD;6279,18;2331;(0.27%);27.36%;(26.26%);(21.68%);38,29;16.19x;0.89x;Regional Banks; 8.850 ; 6.279 ;-29,1%
Zoetis Inc.;NYSE:ZTS;USD;78989,51;6542;(0.07%);3.11%;25.58%;39.01%;166,2;47.90x;21.94x;Pharmaceuticals; 63.038 ; 78.990 ;25,3%
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
† Market Capitalization, P/E and P/BV are calculated using the company's primary security, as determined by Capital IQ.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Historical Equity Pricing Data supplied by Interactive Data Pricing and Reference Data LLC;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Index Data provided by;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Copyright © 2020, Standard & Poor’s, a division of The McGraw-Hill Companies, Inc.  Standard & Poor’s including its subsidiary corporations (“S&P”) is a division of The McGraw Hill Companies, Inc.  Reproduction of S&P 500 in any form is prohibited except with the prior written permission of S&P.  Because of the possibility of human or mechanical error by S&P’s sources, S&P or others, S&P does not guarantee the accuracy, adequacy, completeness or availability of any information and is not responsible for any errors or omissions or for the results obtained from the use of such information.  S&P GIVES NO EXPRESS OR IMPLIED WARRANTIES, INCLUDING, BUT NOT LIMITED TO, ANY WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE OR USE.  In no event shall S&P be liable for any indirect, special or consequential damages in connection with subscriber’s or others’ use of S&P 500.;;;;;;;;;;;;;;;
