Company Name;Exchange:Ticker;Currency;Market Cap (mm) [Latest]*†;Revenue (mm);% Price Change [Last Day];% Price Change [30 Day];% Price Change [YTD];% Price Change [12 Month];Price Close;P/E*†;P/BV*†;Primary Industry;cap_01012020;cap_11212020;% Change between Jan and Nov 2020
Cboe Global Markets, Inc.;BATS:CBOE;USD;9717,29;3181,5;0.03%;12.28%;(25.05%);(27.07%);89,94;21.23x;2.91x;Financial Exchanges and Data; 13.293 ; 9.717 ;-26,9%
CBRE Group, Inc.;NYSE:CBRE;USD;19107,62;24035,1;(0.29%);23.91%;(4.88%);5.05%;58,3;18.29x;2.92x;Real Estate Services; 20.077 ; 19.108 ;-4,8%
CDW Corporation;NasdaqGS:CDW;USD;18867,29;18048,2;(0.63%);2.41%;(7.62%);(4.18%);131,95;26.02x;15.31x;Technology Distributors; 20.523 ; 18.867 ;-8,1%
Celanese Corporation;NYSE:CE;USD;15419,62;5496;(1.23%);13.52%;7.14%;6.17%;131,91;26.90x;6.24x;Specialty Chemicals; 14.882 ; 15.420 ;3,6%
Centene Corporation;NYSE:CNC;USD;36504,06;95748;(1.02%);(4.58%);0.14%;5.89%;62,96;16.69x;1.43x;Managed Health Care; 26.015 ; 36.504 ;40,3%
CenterPoint Energy, Inc.;NYSE:CNP;USD;12781,5;12120;0.13%;8.96%;(13.97%);(4.05%);23,46;NM;2.15x;Multi-Utilities; 13.696 ; 12.782 ;-6,7%
Cerner Corporation;NasdaqGS:CERN;USD;22457,71;5553;0.52%;0.95%;(0.19%);8.25%;73,25;28.62x;5.07x;Health Care Technology; 23.052 ; 22.458 ;-2,6%
CF Industries Holdings, Inc.;NYSE:CF;USD;7166,19;4071;4.20%;22.94%;(29.83%);(25.72%);33,5;25.34x;2.43x;Fertilizers and Agricultural Chemicals; 10.380 ; 7.166 ;-31,0%
Charter Communications, Inc.;NasdaqGS:CHTR;USD;131000,16;47234;0.75%;8.27%;35.11%;36.81%;655,41;51.97x;5.46x;Cable and Satellite; 104.186 ; 131.000 ;25,7%
Chevron Corporation;NYSE:CVX;USD;165173,5;104202;0.07%;21.05%;(28.81%);(26.89%);85,79;NM;1.21x;Integrated Oil and Gas; 227.869 ; 165.173 ;-27,5%
Chipotle Mexican Grill, Inc.;NYSE:CMG;USD;36166,56;5817,15;(1.37%);(5.42%);54.41%;66.58%;1292,57;154.57x;20.31x;Restaurants; 23.268 ; 36.167 ;55,4%
Chubb Limited;NYSE:CB;USD;67192,23;34916;1.02%;16.11%;(4.36%);(2.38%);148,88;29.49x;1.18x;Property and Casualty Insurance; 70.545 ; 67.192 ;-4,8%
Church & Dwight Co., Inc.;NYSE:CHD;USD;21356,79;4744,7;(0.28%);(6.76%);22.21%;23.36%;85,96;27.81x;6.67x;Household Products; 17.262 ; 21.357 ;23,7%
Cigna Corporation;NYSE:CI;USD;73994,76;157009;0.04%;17.34%;0.16%;2.46%;204,82;14.38x;1.54x;Health Care Services; 76.362 ; 73.995 ;-3,1%
Cincinnati Financial Corporation;NasdaqGS:CINF;USD;12453,42;6994;(1.21%);(8.17%);(26.39%);(28.29%);77,4;15.89x;1.29x;Property and Casualty Insurance; 17.179 ; 12.453 ;-27,5%
Cintas Corporation;NasdaqGS:CTAS;USD;37858,7;7020,56;(1.64%);6.84%;34.48%;39.46%;361,85;42.22x;10.67x;Diversified Support Services; 27.904 ; 37.859 ;35,7%
Cisco Systems, Inc.;NasdaqGS:CSCO;USD;173119,33;48071;(0.49%);4.89%;(14.57%);(9.12%);40,97;16.59x;4.56x;Communications Equipment; 203.459 ; 173.119 ;-14,9%
Citigroup Inc.;NYSE:C;USD;107533,22;58084;(0.94%);20.09%;(35.35%);(30.12%);51,65;10.03x;0.62x;Diversified Banks; 174.415 ; 107.533 ;-38,3%
Citizens Financial Group, Inc.;NYSE:CFG;USD;13785,92;5233;(1.62%);17.17%;(20.51%);(15.05%);32,28;14.55x;0.68x;Regional Banks; 17.654 ; 13.786 ;-21,9%
Citrix Systems, Inc.;NasdaqGS:CTXS;USD;14833,93;3236,87;(0.24%);(11.65%);8.64%;6.70%;120,48;25.76x;215.89x;Application Software; 14.441 ; 14.834 ;2,7%
CME Group Inc.;NasdaqGS:CME;USD;60120,16;4910,5;0.93%;1.75%;(16.57%);(18.96%);167,47;27.91x;2.20x;Financial Exchanges and Data; 71.931 ; 60.120 ;-16,4%
CMS Energy Corporation;NYSE:CMS;USD;17537,23;6677;1.11%;(6.03%);(2.53%);(0.73%);61,25;22.94x;3.26x;Multi-Utilities; 17.835 ; 17.537 ;-1,7%
Cognizant Technology Solutions Corporation;NasdaqGS:CTSH;USD;40579,25;16752;(0.39%);4.13%;22.38%;19.51%;75,9;28.13x;3.69x;IT Consulting and Other Services; 33.960 ; 40.579 ;19,5%
Colgate-Palmolive Company;NYSE:CL;USD;72996,5;16162;(0.26%);6.18%;23.71%;26.71%;85,16;27.20x;112.08x;Household Products; 58.999 ; 72.996 ;23,7%
Comcast Corporation;NasdaqGS:CMCS.A;USD;224968,64;104254;(0.63%);10.44%;9.34%;11.21%;49,17;22.05x;2.63x;Cable and Satellite; 204.580 ; 224.969 ;10,0%
Comerica Incorporated;NYSE:CMA;USD;7015,59;2426;(0.96%);18.93%;(29.70%);(27.20%);50,44;13.88x;0.95x;Regional Banks; 10.343 ; 7.016 ;-32,2%
Conagra Brands, Inc.;NYSE:CAG;USD;17518,26;11342,6;(0.91%);(3.32%);4.73%;21.60%;35,86;17.66x;2.18x;Packaged Foods and Meats; 16.663 ; 17.518 ;5,1%
Concho Resources Inc.;NYSE:CXO;USD;11174,99;3260;0.37%;29.74%;(34.40%);(20.24%);57,45;NM;1.43x;Oil and Gas Exploration and Production; 17.467 ; 11.175 ;-36,0%
ConocoPhillips;NYSE:COP;USD;42344,5;21475;0.46%;29.41%;(39.03%);(33.20%);39,65;NM;1.38x;Oil and Gas Exploration and Production; 71.355 ; 42.345 ;-40,7%
Consolidated Edison, Inc.;NYSE:ED;USD;25914,73;12237;0.38%;(3.66%);(14.46%);(11.36%);77,39;19.10x;1.39x;Multi-Utilities; 30.075 ; 25.915 ;-13,8%
Constellation Brands, Inc.;NYSE:STZ;USD;38633,84;8126,1;(1.78%);11.65%;5.70%;7.91%;200,57;35.51x;3.37x;Distillers and Vintners; 36.184 ; 38.634 ;6,8%
Copart, Inc.;NasdaqGS:CPRT;USD;27024,45;2244,1;0.56%;(0.11%);25.87%;34.80%;114,47;40.16x;-;Diversified Support Services; 21.139 ; 27.024 ;27,8%
Corning Incorporated;NYSE:GLW;USD;27733,56;10770;(0.08%);3.71%;24.70%;26.83%;36,3;142.39x;2.67x;Electronic Components; 22.389 ; 27.734 ;23,9%
Corteva, Inc.;NYSE:CTVA;USD;27684,79;13993;0.54%;12.95%;25.71%;48.76%;37,16;46.99x;1.15x;Fertilizers and Agricultural Chemicals; 22.123 ; 27.685 ;25,1%
Costco Wholesale Corporation;NasdaqGS:COST;USD;168160,83;166761;(0.63%);0.87%;29.67%;26.80%;381,12;42.25x;9.26x;Hypermarkets and Super Centers; 129.841 ; 168.161 ;29,5%
Crown Castle International Corp. (REIT);NYSE:CCI;USD;72013,8;5773;(0.67%);1.94%;17.46%;21.97%;166,97;104.37x;7.62x;Specialized REITs; 59.101 ; 72.014 ;21,8%
CSX Corporation;NasdaqGS:CSX;USD;70007,5;10643;(0.17%);16.29%;26.51%;31.60%;91,54;25.43x;5.52x;Railroads; 56.270 ; 70.007 ;24,4%
Cummins Inc.;NYSE:CMI;USD;34137,72;19559;(1.07%);3.78%;28.88%;27.70%;230,65;21.74x;4.48x;Construction Machinery and Heavy Trucks; 27.077 ; 34.138 ;26,1%
CVS Health Corporation;NYSE:CVS;USD;86898,77;265285;0.50%;12.09%;(10.63%);(11.39%);66,39;10.97x;1.26x;Health Care Services; 96.649 ; 86.899 ;-10,1%
D.R. Horton, Inc.;NYSE:DHI;USD;27300;20311,1;(0.13%);2.59%;42.18%;37.44%;75;11.70x;2.31x;Homebuilding; 19.456 ; 27.300 ;40,3%
Danaher Corporation;NYSE:DHR;USD;160374,82;20392,1;(0.03%);(0.35%);47.09%;57.92%;225,76;52.63x;4.62x;Health Care Equipment; 110.521 ; 160.375 ;45,1%
Darden Restaurants, Inc.;NYSE:DRI;USD;14120,18;7200,4;(1.23%);11.01%;(0.51%);(5.49%);108,45;NM;6.02x;Restaurants; 13.365 ; 14.120 ;5,7%
DaVita Inc.;NYSE:DVA;USD;12303,2;11543,87;2.06%;22.59%;46.41%;51.52%;109,85;16.70x;7.78x;Health Care Services; 9.612 ; 12.303 ;28,0%
Deere & Company;NYSE:DE;USD;81026,18;35679;1.16%;9.37%;49.23%;50.26%;258,56;30.14x;6.21x;Agricultural and Farm Machinery; 54.278 ; 81.026 ;49,3%
Delta Air Lines, Inc.;NYSE:DAL;USD;23582,89;24561;(2.06%);17.87%;(36.51%);(33.30%);37,13;NM;7.17x;Airlines; 37.681 ; 23.583 ;-37,4%
DENTSPLY SIRONA Inc.;NasdaqGS:XRAY;USD;10796,63;3371,2;1.08%;8.17%;(12.71%);(12.77%);49,4;NM;2.24x;Health Care Supplies; 12.586 ; 10.797 ;-14,2%
Devon Energy Corporation;NYSE:DVN;USD;5033,7;4335;(2.95%);52.49%;(49.33%);(40.05%);13,16;NM;1.72x;Oil and Gas Exploration and Production; 9.975 ; 5.034 ;-49,5%
DexCom, Inc.;NasdaqGS:DXCM;USD;30332,24;1820,6;(4.47%);(18.56%);44.40%;42.71%;315,87;130.58x;21.17x;Health Care Equipment; 20.021 ; 30.332 ;51,5%
Diamondback Energy, Inc.;NasdaqGS:FANG;USD;6293,63;2992;1.01%;43.77%;(57.10%);(47.08%);39,84;NM;0.65x;Oil and Gas Exploration and Production; 14.899 ; 6.294 ;-57,8%
